PC(HEX)		Instruction(HEX)		R and EA(HEX)		Contents of R(HEX) and EA(HEX) BE 		Contents of R(HEX) and EA(HEX) AE
181			640			R5 CE			0 8182			214			R5 CD			5 4					5 214
183			F10			R5 196			5 5					5 F10
2C			FB0			R4 36			8 FFF					8 FB0
2E			309			R5 36			380 FFF					380 309
2F			704			R5 37			380 380					700 704
30			434			R5 37			700 380					700 434
25			212			R5 24			700 212					700 212
26			F20			R5 37			700 700					700 F20
27			403			R5 37			700 700					700 403
2B			18B			R4 2A			8 18B					7 18B
2C			FB0			R4 36			7 FFF					7 FB0
2E			309			R5 36			700 FFF					700 309
2F			704			R5 37			700 700					E00 704
30			434			R5 37			E00 700					E00 434
25			212			R5 24			E00 212					E00 212
26			F20			R5 37			E00 E00					E00 F20
28			310			R5 37			E00 E00					0 310
29			720			R5 38			0 0					1 720
2A			20E			R5 38			1 0					1 20E
2B			18B			R4 38			7 1					6 18B
2C			FB0			R4 36			6 FFF					6 FB0
2E			309			R5 36			1 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					1 310
29			720			R5 38			1 1					2 720
2A			20E			R5 38			2 1					2 20E
2B			18B			R4 38			6 2					5 18B
2C			FB0			R4 36			5 FFF					5 FB0
2E			309			R5 36			2 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					2 310
29			720			R5 38			2 2					3 720
2A			20E			R5 38			3 2					3 20E
2B			18B			R4 38			5 3					4 18B
2C			FB0			R4 36			4 FFF					4 FB0
2E			309			R5 36			3 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					3 310
29			720			R5 38			3 3					4 720
2A			20E			R5 38			4 3					4 20E
2B			18B			R4 38			4 4					3 18B
2C			FB0			R4 36			3 FFF					3 FB0
2E			309			R5 36			4 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					4 310
29			720			R5 38			4 4					5 720
2A			20E			R5 38			5 4					5 20E
2B			18B			R4 38			3 5					2 18B
2C			FB0			R4 36			2 FFF					2 FB0
2E			309			R5 36			5 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					5 310
29			720			R5 38			5 5					6 720
2A			20E			R5 38			6 5					6 20E
2B			18B			R4 38			2 6					1 18B
2C			FB0			R4 36			1 FFF					1 FB0
2E			309			R5 36			6 FFF					E00 309
2F			704			R5 37			E00 E00					1C00 704
30			434			R5 37			1C00 E00					1C00 434
25			212			R5 24			1C00 212					1C00 212
26			F20			R5 37			1C00 E00					1C00 F20
28			310			R5 37			1C00 E00					6 310
29			720			R5 38			6 6					7 720
2A			20E			R5 38			7 6					7 20E
2B			18B			R4 38			1 7					0 18B
2C			FB0			R4 36			0 FFF					0 FB0
2D			403			R5 36			7 FFF					7 403
31			308			R5 30			7 308					70 308
32			620			R5 39			70 7033			305			R5 D9			70 6					7 305
34			620			R5 38			7 735			610			R5 DA			7 454			640			R5 1AA			0 A55			20B			R5 9A			2 4					2 20B
56			640			R5 60			2 257			20A			R5 11A			1 620					1 20A
58			640			R5 61			1 1101			640			R5 19D			0 159			209			R5 19D			2 1					2 209
5A			52F			R5 62			2 2					5A 52F
4A			21A			R5 49			5A 21A					5A 21A
4B			315			R5 64			5A 5A					2 315
4C			211			R5 60			2 2					2 211
4D			314			R5 5D			2 2					1 314
4E			210			R5 61			1 1					1 210
4F			531			R5 5E			1 1					4F 531
41			21E			R5 40			4F 21E					4F 21E
42			740			R5 5F			4F 4F					0 740
43			39B			R4 5F			0 4F					1 39B
44			F90			R4 5E			1 1					1 F90
46			117			R5 5E			0 1					2 117
47			195			R4 5D			1 2					0 195
48			43B			R5 5C			2 FFF					2 43B
44			F90			R4 43			0 F90					0 F90
45			483			R4 43			0 F90					0 483
49			C16			R5 48			2 C16					2 C16
50			112			R5 4F			2 112					4 112
51			12			R5 62			4 2					F04 12
52			20E			R5 63			F04 FF					F04 20E
53			C11			R5 60			F04 F04					F04 C11
5B			620			R5 5A			F04 620102			38B			R4 CA			0 FFB					1 38B
103			6A0			R4 10D			1 15C			610			R5 D			F04 1
